date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:20	89472/89472	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:19%20GMT	https://www.jazz.com.pk/postpaid/jazz-safe/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-safe/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:21	83914/83914	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:20%20GMT	https://www.jazz.com.pk/postpaid/conference-call/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/conference-call/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:23	19062/19062	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Sep%202016%2018:42:24%20GMT	https://www.jazz.com.pk/assets/uploads/2016/03/55-Twitter-Care-364x224.jpg	C:/Websites/Jazz/www.jazz.com.pk/assets/uploads/2016/03/55-Twitter-Care-364x224.jpg	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:23	87319/87319	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:22%20GMT	https://www.jazz.com.pk/postpaid/missed-call-alert/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/missed-call-alert/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:24	82906/82906	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:22%20GMT	https://www.jazz.com.pk/postpaid/call-forwarding/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/call-forwarding/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:25	98187/98187	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:23%20GMT	https://www.jazz.com.pk/postpaid/youth-central/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/youth-central/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:26	87282/87282	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:24%20GMT	https://www.jazz.com.pk/postpaid/job-alerts/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/job-alerts/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:27	84801/84801	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:25%20GMT	https://www.jazz.com.pk/postpaid/islamic-portal/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/islamic-portal/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:28	87034/87034	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:27%20GMT	https://www.jazz.com.pk/postpaid/apni-dhun/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/apni-dhun/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:29	91516/91516	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:27%20GMT	https://www.jazz.com.pk/postpaid/jazz-my-status/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-my-status/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
